STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       1420;2022051905:22;    1;  121.0;   30.0;   39.0;  18;    79.62;2022051906:00;eor
       1420;2022051906:22;    1;  122.0;   43.0;   82.0;  60;    70.24;2022051907:00;eor
       1420;2022051907:22;    1;  125.0;   58.0;  157.0;  60;    60.61;2022051908:00;eor
       1420;2022051908:22;    1;  130.0;   88.0;  184.0;  60;    51.14;2022051909:00;eor
       1420;2022051909:22;    1;  133.0;  107.0;  244.0;  60;    42.34;2022051910:00;eor
       1420;2022051910:22;    1;  137.0;  123.0;  298.0;  60;    35.10;2022051911:00;eor
       1420;2022051911:22;    1;  141.0;  147.0;  218.0;  53;    30.79;2022051912:00;eor
       1420;2022051912:22;    1;  145.0;  155.0;  202.0;  54;    30.78;2022051913:00;eor
       1420;2022051913:22;    1;  146.0;  133.0;  252.0;  53;    35.08;2022051914:00;eor
       1420;2022051914:22;    1;  147.0;   71.0;  253.0;  57;    42.31;2022051915:00;eor
       1420;2022051915:22;    1;  148.0;   56.0;  191.0;  58;    51.09;2022051916:00;eor
       1420;2022051916:22;    1;  152.0;   39.0;   40.0;   1;    60.56;2022051917:00;eor
       1420;2022051917:22;    1;  150.0;    1.0;    1.0;   0;    70.16;2022051918:00;eor
       1420;2022051918:22;    1;  143.0;    5.0;    8.0;   5;    79.53;2022051919:00;eor
       1420;2022051919:22;    1;  141.0;    6.0;    6.0;  20;    88.31;2022051920:00;eor
       1420;2022051920:22;    1;  138.0;    0.0;    0.0;   0;    96.14;2022051921:00;eor
       1420;2022051921:22;    1;  132.0;    0.0;    0.0;   0;   102.61;2022051922:00;eor
       1420;2022051922:22;    1;  127.0;    0.0;    0.0;   0;   107.28;2022051923:00;eor
       1420;2022051923:22;    1;  130.0;    0.0;    0.0;   0;   109.74;2022052000:00;eor
       1420;2022060300:24;    1;  115.0;    0.0;    0.0;   0;   107.38;2022060301:00;eor
       1420;2022060301:24;    1;  113.0;    0.0;    0.0;   0;   104.98;2022060302:00;eor
       1420;2022060302:24;    1;  121.0;    0.0;    0.0;   0;   100.42;2022060303:00;eor
       1420;2022060303:24;    1;  120.0;    0.0;    0.0;   0;    94.07;2022060304:00;eor
       1420;2022060304:24;    1;  114.0;   10.0;   15.0;  30;    86.37;2022060305:00;eor
       1420;2022060305:24;    1;  116.0;   35.0;   59.0;  54;    77.68;2022060306:00;eor
       1420;2022060306:24;    1;  119.0;   68.0;   81.0;  46;    68.37;2022060307:00;eor
       1420;2022060307:24;    1;  122.0;   95.0;  119.0;  54;    58.77;2022060308:00;eor
       1420;2022060308:24;    1;  121.0;   75.0;  190.0;  53;    49.24;2022060309:00;eor
       1420;2022060309:24;    1;  123.0;   61.0;  278.0;  60;    40.30;2022060310:00;eor
       1420;2022060310:24;    1;  125.0;   56.0;  306.0;  60;    32.83;2022060311:00;eor
       1420;2022060311:24;    1;  133.0;  144.0;  234.0;  56;    28.31;2022060312:00;eor
       1420;2022060312:24;    1;  133.0;  115.0;  305.0;  60;    28.30;2022060313:00;eor
       1420;2022060313:24;    1;  140.0;  148.0;  229.0;  57;    32.82;2022060314:00;eor
       1420;2022060314:24;    1;  148.0;   83.0;   84.0;   2;    40.28;2022060315:00;eor
       1420;2022060315:24;    1;  148.0;   50.0;   50.0;   0;    49.22;2022060316:00;eor
       1420;2022060316:24;    1;  145.0;   47.0;   47.0;   0;    58.74;2022060317:00;eor
       1420;2022060317:24;    1;  149.0;   27.0;   27.0;   0;    68.33;2022060318:00;eor
       1420;2022060318:24;    1;  145.0;    5.0;    5.0;   0;    77.63;2022060319:00;eor
       1420;2022060319:24;    1;  145.0;    2.0;    2.0;   0;    86.30;2022060320:00;eor
       1420;2022060320:24;    1;  143.0;    0.0;    0.0;   0;    94.00;2022060321:00;eor
       1420;2022060321:24;    1;  143.0;    0.0;    0.0;   0;   100.33;2022060322:00;eor
       1420;2022060322:24;    1;  142.0;    0.0;    0.0;   0;   104.88;2022060323:00;eor
